%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581281229124253843,3430,1581281229123569726,magnetic_field,-0.1749,-0.0277,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229149094560,3431,1581281229148442983,magnetic_field,-0.1746,-0.0277,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229174195704,3432,1581281229173534154,magnetic_field,-0.1753,-0.0284,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229199055938,3433,1581281229198445796,magnetic_field,-0.1753,-0.0276,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229224180171,3434,1581281229223483324,magnetic_field,-0.1753,-0.028,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229249323194,3435,1581281229248450279,magnetic_field,-0.1742,-0.027,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229274119640,3436,1581281229273385047,magnetic_field,-0.1753,-0.0284,0.3458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229299057654,3437,1581281229298344612,magnetic_field,-0.1746,-0.0284,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229324074048,3438,1581281229323484420,magnetic_field,-0.175,-0.028,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229349129632,3439,1581281229348330974,magnetic_field,-0.1747,-0.0303,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229374188968,3440,1581281229373411655,magnetic_field,-0.1753,-0.0288,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229399064222,3441,1581281229398323059,magnetic_field,-0.1749,-0.0284,0.3421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229423993894,3442,1581281229423347234,magnetic_field,-0.1757,-0.0287,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229450584515,3443,1581281229448281764,magnetic_field,-0.175,-0.0288,0.3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229473860152,3444,1581281229473297834,magnetic_field,-0.175,-0.0277,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229498825662,3445,1581281229498289108,magnetic_field,-0.1753,-0.0284,0.3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229525339210,3446,1581281229523276805,magnetic_field,-0.1753,-0.0284,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229548940363,3447,1581281229548263311,magnetic_field,-0.1754,-0.0295,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229573954520,3448,1581281229573217630,magnetic_field,-0.1747,-0.0303,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229598946970,3449,1581281229598162174,magnetic_field,-0.1746,-0.0292,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229623893801,3450,1581281229623222589,magnetic_field,-0.1749,-0.0273,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229648739733,3451,1581281229648144960,magnetic_field,-0.1757,-0.0295,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
